feature,coefficient,abs_coefficient
cat__NAME_INCOME_TYPE_Pensioner,-4.615822195446483,4.615822195446483
cat__ORGANIZATION_TYPE_XNA,-4.351929502669917,4.351929502669917
num__DAYS_EMPLOYED,3.9713403693575593,3.9713403693575593
cat__NAME_EDUCATION_TYPE_Academic degree,-2.089889180959956,2.089889180959956
cat__NAME_INCOME_TYPE_Working,1.395796261311754,1.395796261311754
cat__NAME_INCOME_TYPE_Maternity leave,1.3805775990356257,1.3805775990356257
cat__NAME_INCOME_TYPE_State servant,1.2973560169194247,1.2973560169194247
cat__NAME_INCOME_TYPE_Commercial associate,1.29241089571468,1.29241089571468
cat__ORGANIZATION_TYPE_Trade: type 4,-1.2020734703047786,1.2020734703047786
num__bureau_loan_count,-1.0498459722067193,1.0498459722067193
num__AMT_GOODS_PRICE,-0.9279429713085747,0.9279429713085747
cat__ORGANIZATION_TYPE_Realtor,0.9117032252069011,0.9117032252069011
num__AMT_CREDIT,0.8848793797623751,0.8848793797623751
cat__NAME_INCOME_TYPE_Student,-0.8379496476633705,0.8379496476633705
num__bureau_closed_loan_count,0.7587081111787258,0.7587081111787258
